ID,Asset Unit,Address
01FYWQCYEFQFTYDWH1YY5D0DR8,LFTY0125,"621 E Le Claire Rd, Eldridge, IA 52748"
01HP0C6PTQN0SWTXYHT0WGX8F4,LFTY0329,"402 N Wild Olive Ave, Daytona Beach, FL 32118"
01HB70QFQBM9ATQ1MY9C402AE4,LFTY0308,"2423 S 51st Ct, Kansas City, KS 66106"
01H89SR9PB4KVRZGZKH7DFRV68,LFTY0328,"75 Boulevard NE Unit 1, Atlanta, GA 30312"
01HFFQFZWY1PSWQN5XXCMVVD47,LFTY0321,"10828 Pluton St, Norwalk, CA 90650"
01HQVKYZA53QNGAW5XR6EF7ACV,LFTY0331,"1821 Donetto Dr, Leander, TX 78641"
01HJ4RS5TXHB8A3PE531FQYP9W,LFTY0303,"13596 SW Mapleview Ln, Tigard, Oregon 97224"
01HP2GCJSK1VAAEQPK3Q45149H,LFTY0301,"33008 Joshua Ave, Acton, CA 93510"
01GEMZ1F8HDXDQPX3ZDFV1EZYS,LFTY0263,"927 Euclid Ave Apt 10, Miami Beach, FL 33139"
01HQPBRGHMGY6J768GPKRRRWG2,LFTY0302,"440 Louden Ave, Dunedin, FL 34698"
01HS93VNKAC0XQMATXNDY10J26,LFTY0320,"122 Florida Park Dr, Palm Coast, FL 32137"
